"question","response"
"Flash SD card","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"Initial setup","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"Pi setup","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"Before installing Smart Pi","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"Update Pi","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"apt update","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"GPU memory","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"Raspi-config","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"Enable SSH","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"System dependencies","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Apt packages","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Install OpenCV","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Install SDL","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Libopencv","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Python opencv","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"System packages","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Dependencies apt","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Libcamera dev","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"CSI dependencies","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Before pip install","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Virtual environment","Create a virtual environment with python3 -m venv .venv, activate it, then pip install -r requirements.txt. For development: pip install -e .. install_pi.sh does not create a venv by default."
"Use venv","Create a virtual environment with python3 -m venv .venv, activate it, then pip install -r requirements.txt. For development: pip install -e .. install_pi.sh does not create a venv by default."
"Python venv","Create a virtual environment with python3 -m venv .venv, activate it, then pip install -r requirements.txt. For development: pip install -e .. install_pi.sh does not create a venv by default."
"Create venv","Create a virtual environment with python3 -m venv .venv, activate it, then pip install -r requirements.txt. For development: pip install -e .. install_pi.sh does not create a venv by default."
"Activate venv","Create a virtual environment with python3 -m venv .venv, activate it, then pip install -r requirements.txt. For development: pip install -e .. install_pi.sh does not create a venv by default."
"venv install","Create a virtual environment with python3 -m venv .venv, activate it, then pip install -r requirements.txt. For development: pip install -e .. install_pi.sh does not create a venv by default."
"Isolate dependencies","Create a virtual environment with python3 -m venv .venv, activate it, then pip install -r requirements.txt. For development: pip install -e .. install_pi.sh does not create a venv by default."
"Make install","Run make install from repo root to install Python dependencies (runs pip install -r requirements.txt). Or run ./scripts/install_pi.sh. For editable install run pip install -e . after."
"make install","Run make install from repo root to install Python dependencies (runs pip install -r requirements.txt). Or run ./scripts/install_pi.sh. For editable install run pip install -e . after."
"Install command","Run make install from repo root to install Python dependencies (runs pip install -r requirements.txt). Or run ./scripts/install_pi.sh. For editable install run pip install -e . after."
"Quick install","Run make install from repo root to install Python dependencies (runs pip install -r requirements.txt). Or run ./scripts/install_pi.sh. For editable install run pip install -e . after."
"app.yaml","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"What is app yaml","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"Main config","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"Application config","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"Config file","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"Where is app config","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"App configuration","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"Config location","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"camera_index","camera_index is the camera device number. On Linux, 0 usually means /dev/video0, 1 means /dev/video1. Set it in configs/app.yaml. Use ls /dev/video* to see available devices."
"Camera index","camera_index is the camera device number. On Linux, 0 usually means /dev/video0, 1 means /dev/video1. Set it in configs/app.yaml. Use ls /dev/video* to see available devices."
"Which camera","camera_index is the camera device number. On Linux, 0 usually means /dev/video0, 1 means /dev/video1. Set it in configs/app.yaml. Use ls /dev/video* to see available devices."
